module,uid,ProducerName,switches,file,rank,flushes,record_id,exe,max_byte,type,job_id,op,cnt,schema,off,pt_sel,dur,len,ndims,reg_hslab,irreg_hslab,npoints,timestamp,total,start
STDIO,1000,ip-172-31-89-93,-1,<STDIN>,0,-1,9223372036854775807,/home/ubuntu/ior/src/ior,-1,MET,4789,open,1,darshan_data,-1,-1,0.000000,-1,-1,-1,-1,-1,1718735568.063902,0.000000,0.000000
STDIO,1000,ip-172-31-89-93,-1,<STDOUT>,0,-1,9223372036854775807,/home/ubuntu/ior/src/ior,-1,MET,4789,open,1,darshan_data,-1,-1,0.000000,-1,-1,-1,-1,-1,1718735568.063902,0.000000,0.000000
STDIO,1000,ip-172-31-89-93,-1,<STDERR>,0,-1,7238257241479193519,/home/ubuntu/ior/src/ior,-1,MET,4789,open,1,darshan_data,-1,-1,0.000000,-1,-1,-1,-1,-1,1718735568.063902,0.000000,0.000000
STDIO,1000,ip-172-31-89-93,-1,N/A,0,0,9223372036854775807,N/A,51,MOD,4789,write,1,N/A,0,-1,0.000220,52,-1,-1,-1,-1,1718735568.070803,0.000220,0.006681
STDIO,1000,ip-172-31-89-93,-1,N/A,0,0,9223372036854775807,N/A,75,MOD,4789,write,2,N/A,52,-1,0.000001,24,-1,-1,-1,-1,1718735568.071495,0.000221,0.007592
STDIO,1000,ip-172-31-89-93,-1,N/A,0,0,9223372036854775807,N/A,76,MOD,4789,write,3,N/A,76,-1,0.000053,1,-1,-1,-1,-1,1718735568.071662,0.000274,0.007707
STDIO,1000,ip-172-31-89-93,-1,N/A,0,0,9223372036854775807,N/A,77,MOD,4789,write,4,N/A,77,-1,0.000008,1,-1,-1,-1,-1,1718735568.071754,0.000282,0.007844
STDIO,1000,ip-172-31-89-93,-1,N/A,0,1,9223372036854775807,N/A,77,MOD,4789,write,4,N/A,78,-1,0.000001,0,-1,-1,-1,-1,1718735568.071783,0.000282,0.007880
STDIO,1000,ip-172-31-89-93,-1,N/A,0,2,9223372036854775807,N/A,77,MOD,4789,write,4,N/A,78,-1,0.000000,0,-1,-1,-1,-1,1718735568.071836,0.000283,0.007933
STDIO,1000,ip-172-31-89-93,-1,N/A,0,3,9223372036854775807,N/A,77,MOD,4789,write,4,N/A,78,-1,0.000000,0,-1,-1,-1,-1,1718735568.072009,0.000283,0.008106
STDIO,1000,ip-172-31-89-93,-1,N/A,0,4,9223372036854775807,N/A,77,MOD,4789,write,4,N/A,78,-1,0.000000,0,-1,-1,-1,-1,1718735568.072075,0.000284,0.008172
STDIO,1000,ip-172-31-89-93,-1,N/A,0,5,9223372036854775807,N/A,77,MOD,4789,write,4,N/A,78,-1,0.000001,0,-1,-1,-1,-1,1718735568.072360,0.000284,0.008457
STDIO,1000,ip-172-31-89-93,-1,N/A,0,6,9223372036854775807,N/A,77,MOD,4789,write,4,N/A,78,-1,0.000001,0,-1,-1,-1,-1,1718735568.076113,0.000285,0.012210
STDIO,1000,ip-172-31-89-93,-1,N/A,0,6,9223372036854775807,N/A,78,MOD,4789,write,5,N/A,78,-1,0.000022,1,-1,-1,-1,-1,1718735568.076266,0.000307,0.012341
STDIO,1000,ip-172-31-89-93,-1,N/A,0,6,9223372036854775807,N/A,193,MOD,4789,write,6,N/A,79,-1,0.000041,115,-1,-1,-1,-1,1718735568.076447,0.000348,0.012504
STDIO,1000,ip-172-31-89-93,-1,N/A,0,6,9223372036854775807,N/A,308,MOD,4789,write,7,N/A,194,-1,0.000041,115,-1,-1,-1,-1,1718735568.076616,0.000389,0.012672
POSIX,1000,ip-172-31-89-93,-1,/home/ubuntu/testFile.00000000,0,-1,9223372036854775807,/home/ubuntu/ior/src/ior,-1,MET,4789,open,1,darshan_data,-1,-1,0.000032,-1,-1,-1,-1,-1,1718735568.167907,0.000032,0.103973
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,4194303,MOD,4789,write,1,N/A,0,-1,0.003428,4194304,-1,-1,-1,-1,1718735568.171839,0.003428,0.104509
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,8388607,MOD,4789,write,2,N/A,4194304,-1,0.002242,4194304,-1,-1,-1,-1,1718735568.174576,0.005670,0.108432
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,12582911,MOD,4789,write,3,N/A,8388608,-1,0.003376,4194304,-1,-1,-1,-1,1718735568.179842,0.009047,0.112563
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,16777215,MOD,4789,write,4,N/A,12582912,-1,0.002133,4194304,-1,-1,-1,-1,1718735568.182465,0.011180,0.116430
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,20971519,MOD,4789,write,5,N/A,16777216,-1,0.002348,4194304,-1,-1,-1,-1,1718735568.186132,0.013528,0.119882
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,25165823,MOD,4789,write,6,N/A,20971520,-1,0.002139,4194304,-1,-1,-1,-1,1718735568.189813,0.015667,0.123771
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,29360127,MOD,4789,write,7,N/A,25165824,-1,0.003484,4194304,-1,-1,-1,-1,1718735568.193765,0.019151,0.126379
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,33554431,MOD,4789,write,8,N/A,29360128,-1,0.002028,4194304,-1,-1,-1,-1,1718735568.196281,0.021180,0.130350
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,37748735,MOD,4789,write,9,N/A,33554432,-1,0.003357,4194304,-1,-1,-1,-1,1718735568.200493,0.024537,0.133233
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,41943039,MOD,4789,write,10,N/A,37748736,-1,0.002633,4194304,-1,-1,-1,-1,1718735568.203596,0.027170,0.137061
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,46137343,MOD,4789,write,11,N/A,41943040,-1,0.003210,4194304,-1,-1,-1,-1,1718735568.207270,0.030380,0.140157
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,50331647,MOD,4789,write,12,N/A,46137344,-1,0.003230,4194304,-1,-1,-1,-1,1718735568.211217,0.033611,0.144084
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,54525951,MOD,4789,write,13,N/A,50331648,-1,0.002060,4194304,-1,-1,-1,-1,1718735568.213759,0.035671,0.147797
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,58720255,MOD,4789,write,14,N/A,54525952,-1,0.002315,4194304,-1,-1,-1,-1,1718735568.217501,0.037986,0.151284
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,62914559,MOD,4789,write,15,N/A,58720256,-1,0.002010,4194304,-1,-1,-1,-1,1718735568.219991,0.039995,0.154079
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,67108863,MOD,4789,write,16,N/A,62914560,-1,0.003236,4194304,-1,-1,-1,-1,1718735568.224007,0.043232,0.156868
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,71303167,MOD,4789,write,17,N/A,67108864,-1,0.002137,4194304,-1,-1,-1,-1,1718735568.227536,0.045369,0.161497
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,75497471,MOD,4789,write,18,N/A,71303168,-1,0.002389,4194304,-1,-1,-1,-1,1718735568.230406,0.047758,0.164115
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,79691775,MOD,4789,write,19,N/A,75497472,-1,0.003215,4194304,-1,-1,-1,-1,1718735568.234963,0.050973,0.167846
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,83886079,MOD,4789,write,20,N/A,79691776,-1,0.003288,4194304,-1,-1,-1,-1,1718735568.238438,0.054260,0.171248
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,88080383,MOD,4789,write,21,N/A,83886080,-1,0.002053,4194304,-1,-1,-1,-1,1718735568.240957,0.056314,0.175001
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,92274687,MOD,4789,write,22,N/A,88080384,-1,0.003249,4194304,-1,-1,-1,-1,1718735568.245021,0.059563,0.177869
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,96468991,MOD,4789,write,23,N/A,92274688,-1,0.002011,4194304,-1,-1,-1,-1,1718735568.247505,0.061574,0.181592
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,100663295,MOD,4789,write,24,N/A,96468992,-1,0.003276,4194304,-1,-1,-1,-1,1718735568.251902,0.064850,0.184724
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,104857599,MOD,4789,write,25,N/A,100663296,-1,0.002122,4194304,-1,-1,-1,-1,1718735568.254214,0.066972,0.188190
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,109051903,MOD,4789,write,26,N/A,104857600,-1,0.003299,4194304,-1,-1,-1,-1,1718735568.258844,0.070271,0.191642
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,113246207,MOD,4789,write,27,N/A,109051904,-1,0.002015,4194304,-1,-1,-1,-1,1718735568.261230,0.072287,0.195312
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,117440511,MOD,4789,write,28,N/A,113246208,-1,0.002404,4194304,-1,-1,-1,-1,1718735568.263843,0.074691,0.197536
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,121634815,MOD,4789,write,29,N/A,117440512,-1,0.003170,4194304,-1,-1,-1,-1,1718735568.268289,0.077861,0.201217
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,125829119,MOD,4789,write,30,N/A,121634816,-1,0.002144,4194304,-1,-1,-1,-1,1718735568.270936,0.080005,0.204890
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,130023423,MOD,4789,write,31,N/A,125829120,-1,0.002160,4194304,-1,-1,-1,-1,1718735568.274459,0.082165,0.208397
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,134217727,MOD,4789,write,32,N/A,130023424,-1,0.002305,4194304,-1,-1,-1,-1,1718735568.277189,0.084470,0.210981
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,138412031,MOD,4789,write,33,N/A,134217728,-1,0.003211,4194304,-1,-1,-1,-1,1718735568.281829,0.087681,0.214715
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,142606335,MOD,4789,write,34,N/A,138412032,-1,0.004383,4194304,-1,-1,-1,-1,1718735568.286520,0.092064,0.218235
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,146800639,MOD,4789,write,35,N/A,142606336,-1,0.002199,4194304,-1,-1,-1,-1,1718735568.289196,0.094263,0.223095
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,150994943,MOD,4789,write,36,N/A,146800640,-1,0.002965,4194304,-1,-1,-1,-1,1718735568.293671,0.097228,0.226804
POSIX,1000,ip-172-31-89-93,0,N/A,0,-1,9223372036854775807,N/A,155189247,MOD,4789,write,37,N/A,150994944,-1,0.003371,4194304,-1,-1,-1,-1,1718735568.297392,0.100599,0.230119
